samples,sample_name,Group,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,image_name,linear_scale,area_scale,Age
plant25,P3-JSC1A-3,JSC1A,11956,17161.5,0.696675699,884.4061968,135,191,1407,"(937.980093676815,1235.8489461358313)",27,"(936.5781860351562,1237.16552734375)",190.4229431,100.5392303,28.26123047,0.849257703,GLDS-476_image-analysis_210508-P3.tiff,3.66544E-05,1.34355E-09,08
plant29,P3-A17,A17,1678,2439,0.68798688,346.6131715,78,54,580,"(2324.5041716328965,1157.6585220500597)",21,"(2322.534912109375,1158.7691650390625)",88.20910645,33.28692245,65.11930847,0.926065102,GLDS-476_image-analysis_210508-P3.tiff,3.66544E-05,1.34355E-09,08
plant34,P3-JSC1A-4,JSC1A,7734,11227,0.688875033,745.1513636,116,142,1038,"(1215.5682699767262,1651.1973105766745)",30,"(1213.6202392578125,1651.1529541015625)",127.5682449,100.7242813,151.3147125,0.613658264,GLDS-476_image-analysis_210508-P3.tiff,3.66544E-05,1.34355E-09,08
plant9,P3-JSC1A-1,JSC1A,52973,82976,0.638413517,2155.530211,411,282,2816,"(883.3741528703301,492.2261718233817)",38,"(874.7323608398438,495.271484375)",397.6972046,244.0149231,94.81174469,0.789640627,GLDS-476_image-analysis_210510-P3.tiff,3.66261E-05,1.34147E-09,10
plant10,None,None,52973,82976,0.638413517,2155.530211,411,282,2816,"(883.3741528703301,492.2261718233817)",38,"(874.7323608398438,495.271484375)",397.6972046,244.0149231,94.81174469,0.789640627,GLDS-476_image-analysis_210510-P3.tiff,3.66261E-05,1.34147E-09,10
plant18,P1-JSC1A-2,JSC1A,26223,44406,0.590528307,1482.704748,251,249,2037,"(1232.2500095336156,826.6463791328223)",33,"(1235.4471435546875,824.5386962890625)",239.2602692,215.5367889,134.9143829,0.434137635,GLDS-476_image-analysis_210510-P3.tiff,3.66261E-05,1.34147E-09,10
plant22,P1-A12,A12,703,1374.5,0.511458712,262.8478854,46,42,323,"(2670.908961593172,883.8662873399716)",15,"(2668.241455078125,879.8176879882812)",47.05467987,38.70278168,141.9295807,0.56875566,GLDS-476_image-analysis_210510-P3.tiff,3.66261E-05,1.34147E-09,10
plant25,P1-JSC1A-3,JSC1A,25140,41352,0.607951248,1485.030649,254,243,1909,"(944.8079554494828,1159.1555290373906)",35,"(942.2352905273438,1160.515625)",247.8557434,193.7517853,131.9935913,0.623639718,GLDS-476_image-analysis_210510-P3.tiff,3.66261E-05,1.34147E-09,10
plant34,P1-JSC1A-4,JSC1A,15086,23360.5,0.645790972,1090.129066,219,158,1525,"(1238.2018427681294,1569.1441071191834)",31,"(1236.277099609375,1568.53125)",197.9849854,131.5059814,79.25274658,0.74753538,GLDS-476_image-analysis_210510-P3.tiff,3.66261E-05,1.34147E-09,10
plant22,P2-A12,A12,2103,3222.5,0.652598914,456.5894885,94,56,720,"(2496.1768901569185,1003.6005706134094)",22,"(2494.80615234375,1002.4349365234375)",96.78575134,37.44699097,112.287262,0.922119148,GLDS-476_image-analysis_210502-P2.tiff,3.56933E-05,1.27401E-09,02
plant13,P2-A11,A11,2337,4380.5,0.533500742,431.5902523,94,70,667,"(2155.1647411210956,634.7205819426615)",21,"(2141.268310546875,630.5014038085938)",96.70085907,67.60586548,90.84757233,0.715000704,GLDS-476_image-analysis_210502-P2.tiff,3.56933E-05,1.27401E-09,02
plant34,P2-JSC1A-4,JSC1A,3592,5194,0.691567193,432.5168067,87,94,597,"(1122.8067928730513,1643.5924276169264)",20,"(1121.7054443359375,1640.0081787109375)",87.9369278,70.65750122,145.135025,0.595301995,GLDS-476_image-analysis_210502-P2.tiff,3.56933E-05,1.27401E-09,02
plant29,P2-A17,A17,2021,3452,0.585457706,472.7928246,85,62,583,"(2161.515091538842,1283.40227610094)",22,"(2166.0400390625,1282.827880859375)",77.33131409,63.48959732,65.22566986,0.570917249,GLDS-476_image-analysis_210502-P2.tiff,3.56933E-05,1.27401E-09,02
plant9,P2-JSC1A-1,JSC1A,1396,4540.5,0.307455126,447.7685313,74,104,865,"(797.8280802292263,635.5587392550143)",17,"(801.4754028320312,639.232421875)",109.8289108,70.07388306,42.3930397,0.770013444,GLDS-476_image-analysis_210502-P2.tiff,3.56933E-05,1.27401E-09,02
plant25,P2-JSC1A-3,JSC1A,2332,3039.5,0.767231453,308.8355674,90,61,699,"(777.9365351629502,1320.909090909091)",21,"(777.4513549804688,1321.0399169921875)",89.63806152,39.62398148,58.72420502,0.89699329,GLDS-476_image-analysis_210502-P2.tiff,3.56933E-05,1.27401E-09,02
plant18,P2-JSC1A-2,JSC1A,1432,3484,0.411021814,461.2848533,65,103,691,"(1150.5055865921788,916.7779329608938)",16,"(1143.82763671875,937.0269775390625)",98.92918396,49.95700073,17.46535301,0.863132574,GLDS-476_image-analysis_210502-P2.tiff,3.56933E-05,1.27401E-09,02
