samples,sample_name,Group,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass,convex_hull_vertices,ellipse_center,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,image_name,linear_scale,area_scale,Age
plant22,P1-A12,A12,1254,2177.5,0.575889782,313.5002326,38,75,529,"(2593.2711323763956,998.0414673046251)",20,"(2594.65869140625,992.4234008789062)",71.93675232,36.69014359,6.59549284,0.86015462,GLDS-476_image-analysis_210510-P1.tiff,3.63274E-05,1.31968E-09,10
plant25,P1-JSC1A-3,JSC1A,33278,56753.5,0.586360313,1688.930144,263,339,2344,"(863.1945128913998,1421.9336498587656)",42,"(861.6022338867188,1423.373779296875)",298.2789917,214.4047699,171.1714172,0.69521057,GLDS-476_image-analysis_210510-P1.tiff,3.63274E-05,1.31968E-09,10
plant34,P1-JSC1A-4,JSC1A,30749,49670,0.619065835,1458.462108,268,304,2052,"(1235.1616963153274,1680.8101726885427)",40,"(1225.10595703125,1675.8402099609375)",289.9134521,218.9738464,24.8508358,0.655370402,GLDS-476_image-analysis_210510-P1.tiff,3.63274E-05,1.31968E-09,10
plant9,P4-JSC1A-1,JSC1A,618,724,0.85359116,134.9533175,41,34,304,"(751.5016181229773,577.4692556634304)",16,"(752.1858520507812,577.1275634765625)",50.00827408,17.58261108,56.61566162,0.936152568,GLDS-476_image-analysis_210502-P4.tiff,3.62264E-05,1.31235E-09,02
plant13,P4-A11,A11,2419,3011.5,0.803254192,300.8355674,72,65,504,"(2071.8383629599007,533.8751550227366)",22,"(2072.740478515625,533.8921508789062)",66.95750427,52.66852188,128.7934265,0.617467681,GLDS-476_image-analysis_210502-P4.tiff,3.62264E-05,1.31235E-09,02
plant18,P4-JSC1A-2,JSC1A,2120,2818,0.7523066,298.7350621,78,57,545,"(1073.5754716981132,879.7966981132075)",22,"(1075.643310546875,878.4228515625)",75.54748535,45.7707901,56.80776215,0.795575406,GLDS-476_image-analysis_210502-P4.tiff,3.62264E-05,1.31235E-09,02
plant22,P4-A12,A12,3580,6001,0.596567239,709.2928272,95,80,785,"(2435.9502793296087,862.5053072625699)",17,"(2438.57958984375,866.1450805664062)",95.01322174,73.14267731,112.6012268,0.638266141,GLDS-476_image-analysis_210502-P4.tiff,3.62264E-05,1.31235E-09,02
plant25,P4-JSC1A-3,JSC1A,2542,3572,0.711646137,332.1492757,86,71,546,"(747.9885916601102,1192.647128245476)",19,"(746.8179321289062,1192.614990234375)",85.29717255,57.02425003,117.2637863,0.743679576,GLDS-476_image-analysis_210502-P4.tiff,3.62264E-05,1.31235E-09,02
plant29,P4-A17,A17,2978,3946,0.754688292,354.0904006,77,77,502,"(2148.4140362659505,1247.3962390866354)",18,"(2148.935546875,1247.3341064453125)",73.33087158,62.28247452,63.23043823,0.52785423,GLDS-476_image-analysis_210502-P4.tiff,3.62264E-05,1.31235E-09,02
plant34,P4-JSC1A-4,JSC1A,4231,5235.5,0.808136759,360.3330412,94,93,646,"(1070.120302528953,1578.359016780903)",24,"(1071.85595703125,1578.8909912109375)",94.27102661,70.78874969,132.3998108,0.660408253,GLDS-476_image-analysis_210502-P4.tiff,3.62264E-05,1.31235E-09,02
plant9,P4-JSC1A-1,JSC1A,4408,5561,0.79266319,358.1909058,100,99,817,"(1614.8711433756805,1153.3854355716878)",32,"(1614.8665771484375,1152.4459228515625)",132.7288055,51.98579788,44.56649017,0.92010606,GLDS-476_image-analysis_210504-P4.tiff,2.27687E-05,5.18412E-10,04
plant13,P4-A11,A11,9098,12335.5,0.737546107,813.0931633,170,105,1196,"(3707.932292811607,1134.356671795999)",28,"(3707.1337890625,1135.01318359375)",150.2395935,91.6547699,90.40966797,0.792357253,GLDS-476_image-analysis_210504-P4.tiff,2.27687E-05,5.18412E-10,04
plant18,P4-JSC1A-2,JSC1A,12750,18165,0.701899257,721.8376553,180,160,1255,"(2105.645725490196,1697.139843137255)",35,"(2109.1298828125,1696.39892578125)",177.8828278,134.1805878,53.04745483,0.656506836,GLDS-476_image-analysis_210504-P4.tiff,2.27687E-05,5.18412E-10,04
plant22,P4-A12,A12,17893,24428,0.732479122,1124.940248,188,160,1304,"(4268.206728888392,1700.711842620019)",29,"(4266.98291015625,1702.3157958984375)",173.6876984,147.583847,96.5512085,0.52725337,GLDS-476_image-analysis_210504-P4.tiff,2.27687E-05,5.18412E-10,04
plant25,P4-JSC1A-3,JSC1A,15398,21883.5,0.703635159,1045.574127,207,184,1398,"(1573.4212235355242,2185.715547473698)",37,"(1571.232666015625,2187.87548828125)",205.5092621,137.4634247,125.0002823,0.743359934,GLDS-476_image-analysis_210504-P4.tiff,2.27687E-05,5.18412E-10,04
plant29,P4-A17,A17,14888,23802,0.625493656,1512.476882,159,243,1609,"(3827.420137023106,2344.0194787748524)",30,"(3820.82177734375,2336.11474609375)",203.8602448,125.3407135,170.9978943,0.788654623,GLDS-476_image-analysis_210504-P4.tiff,2.27687E-05,5.18412E-10,04
plant34,P4-JSC1A-4,JSC1A,22292,30534,0.730071396,899.1757488,221,223,1476,"(2078.709626771936,2832.5355732998387)",39,"(2084.46044921875,2828.3505859375)",196.0675812,192.7625275,137.9593964,0.182836716,GLDS-476_image-analysis_210504-P4.tiff,2.27687E-05,5.18412E-10,04
plant9,P4-JSC1A-1,JSC1A,5511,7181,0.76744186,480.0315255,98,130,983,"(826.3015786608601,661.0635093449465)",30,"(826.1223754882812,660.51708984375)",154.7782898,54.56132889,30.06659889,0.93580699,GLDS-476_image-analysis_210506-P4.tiff,3.63334E-05,1.32012E-09,06
plant13,P4-A11,A11,189,187,1.010695187,60.87005723,15,22,131,"(2222.3386243386244,590.5185185185185)",10,"(2222.060302734375,590.5695190429688)",19.79488754,12.41101551,155.3175049,0.779034664,GLDS-476_image-analysis_210506-P4.tiff,3.63334E-05,1.32012E-09,06
plant18,P4-JSC1A-2,JSC1A,8531,11898,0.717011262,885.8876987,89,179,1277,"(1136.7397725940687,997.1352713632634)",30,"(1137.292724609375,997.1130981445312)",183.9650879,72.75227356,9.815554619,0.91847983,GLDS-476_image-analysis_210506-P4.tiff,3.63334E-05,1.32012E-09,06
plant22,P4-A12,A12,4373,9196.5,0.475506986,694.0152563,109,127,806,"(2481.1131946032474,1018.9769037274183)",20,"(2466.47509765625,1011.3847045898438)",117.1956024,109.3041763,131.2739868,0.360745001,GLDS-476_image-analysis_210506-P4.tiff,3.63334E-05,1.32012E-09,06
plant25,P4-JSC1A-3,JSC1A,7470,10161,0.735163862,661.3107439,185,80,1312,"(805.994109772423,1316.0732262382865)",37,"(804.558349609375,1316.363525390625)",208.2661133,58.61553955,79.31225586,0.959577244,GLDS-476_image-analysis_210506-P4.tiff,3.63334E-05,1.32012E-09,06
plant29,P4-A17,A17,3204,13080.5,0.244944765,879.7777541,85,224,1300,"(2201.6061173533085,1356.9509987515605)",24,"(2183.4716796875,1350.304931640625)",213.1540222,110.9976196,9.475487709,0.853715912,GLDS-476_image-analysis_210506-P4.tiff,3.63334E-05,1.32012E-09,06
plant34,P4-JSC1A-4,JSC1A,8371,11130.5,0.752077625,632.6416972,80,182,1271,"(1101.8269024011468,1723.4287420857722)",33,"(1102.4412841796875,1723.355712890625)",183.8883667,70.47231293,0.227125883,0.923651201,GLDS-476_image-analysis_210506-P4.tiff,3.63334E-05,1.32012E-09,06
plant9,P4-JSC1A-1,JSC1A,12350,18674.5,0.661329621,980.3889519,149,167,1331,"(874.2565991902834,673.3574898785425)",32,"(876.2435913085938,676.2797241210938)",159.8250122,134.1824799,31.86414528,0.543268981,GLDS-476_image-analysis_210508-P4.tiff,3.63151E-05,1.31879E-09,08
plant13,P4-A11,A11,602,6049.5,0.099512356,642.5154349,132,180,1526,"(2231.7308970099666,616.2109634551495)",20,"(2216.274169921875,647.9608764648438)",200.2730103,59.84909058,37.17582321,0.954304005,GLDS-476_image-analysis_210508-P4.tiff,3.63151E-05,1.31879E-09,08
plant18,P4-JSC1A-2,JSC1A,19783,33903,0.583517683,1289.969686,232,235,1638,"(1171.3105696810392,1013.3032401556892)",35,"(1171.5208740234375,1011.7547607421875)",200.9348755,194.5466309,151.25914,0.250148865,GLDS-476_image-analysis_210508-P4.tiff,3.63151E-05,1.31879E-09,08
plant22,P4-A12,A12,5235,7524,0.695773525,636.5925115,141,96,1068,"(2535.34517669532,1025.4880611270296)",32,"(2536.9365234375,1026.79931640625)",160.1343689,54.92350006,63.88291168,0.939341306,GLDS-476_image-analysis_210508-P4.tiff,3.63151E-05,1.31879E-09,08
plant25,P4-JSC1A-3,JSC1A,15791,25721,0.613934139,1149.040754,230,162,1644,"(862.0442657209803,1335.0859350262808)",32,"(860.1075439453125,1334.158935546875)",204.588562,146.9879913,70.62001801,0.695571846,GLDS-476_image-analysis_210508-P4.tiff,3.63151E-05,1.31879E-09,08
plant29,P4-A17,A17,2496,9882,0.252580449,831.5476485,83,229,1587,"(2254.418269230769,1386.4835737179487)",24,"(2234.29833984375,1339.486083984375)",210.6593933,100.3967667,177.0224762,0.879129272,GLDS-476_image-analysis_210508-P4.tiff,3.63151E-05,1.31879E-09,08
plant34,P4-JSC1A-4,JSC1A,18161,29212,0.621696563,1204.454967,213,224,1566,"(1167.4770111777987,1729.4636859203788)",34,"(1169.8883056640625,1733.0517578125)",191.1318817,179.600174,2.153445244,0.342092654,GLDS-476_image-analysis_210508-P4.tiff,3.63151E-05,1.31879E-09,08
plant9,P4-JSC1A-1,JSC1A,23732,39506.5,0.600711275,1247.42553,260,234,1990,"(879.5489212877128,673.7211781560762)",38,"(870.5277099609375,674.7142333984375)",272.9894104,177.2216949,125.5447998,0.760627223,GLDS-476_image-analysis_210510-P4.tiff,3.67545E-05,1.3509E-09,10
plant13,P4-A11,A11,240,244.5,0.981595092,68.18376553,19,23,156,"(2268.1208333333334,573.2125)",12,"(2267.716552734375,573.2039184570312)",21.5651741,14.90721893,144.8695679,0.722602724,GLDS-476_image-analysis_210510-P4.tiff,3.67545E-05,1.3509E-09,10
plant17,None,None,69816,190914,0.365693454,4326.357188,620,581,4783,"(1031.1911882663,1165.300117451587)",35,"(1038.439208984375,1185.4520263671875)",573.703125,370.0628052,49.42739868,0.764146833,GLDS-476_image-analysis_210510-P4.tiff,3.67545E-05,1.3509E-09,10
plant18,P4-JSC1A-2,JSC1A,38196,66700,0.572653673,1807.841831,390,268,2719,"(1157.9010629385275,1028.0973662163578)",38,"(1154.1800537109375,1026.4161376953125)",342.6074829,218.5975037,92.14125824,0.770002675,GLDS-476_image-analysis_210510-P4.tiff,3.67545E-05,1.3509E-09,10
plant22,P4-A12,A12,9156,13105.5,0.698637976,746.139171,151,146,1221,"(2527.9879860200963,1015.4311926605504)",27,"(2529.241455078125,1013.3449096679688)",172.0949249,85.0459137,48.10128021,0.869359463,GLDS-476_image-analysis_210510-P4.tiff,3.67545E-05,1.3509E-09,10
plant9,P3-JSC1A-1,JSC1A,2366,3085.5,0.76681251,371.5454316,70,77,612,"(702.2975486052409,565.9995773457312)",20,"(704.0838623046875,565.6289672851562)",86.31581879,47.38719559,35.8939476,0.835823787,GLDS-476_image-analysis_210502-P3.tiff,3.63372E-05,1.32039E-09,02
plant13,P3-A11,A11,732,905.5,0.808393153,198.0107486,35,47,373,"(2069.4207650273224,628.8142076502733)",22,"(2069.434326171875,628.5228271484375)",55.55311966,19.84078407,149.5481567,0.934047129,GLDS-476_image-analysis_210502-P3.tiff,3.63372E-05,1.32039E-09,02
plant18,P3-JSC1A-2,JSC1A,1645,2613,0.629544585,305.3208486,86,51,583,"(1064.0066869300913,888.2261398176291)",16,"(1063.705322265625,888.4053344726562)",76.48760223,39.59822464,104.1624451,0.855557528,GLDS-476_image-analysis_210502-P3.tiff,3.63372E-05,1.32039E-09,02
plant22,P3-A12,A12,2919,9853.5,0.296239915,912.4889231,122,126,1053,"(2410.2401507365535,938.5378554299417)",20,"(2416.7958984375,948.2359008789062)",130.8193359,97.72712708,123.5671387,0.664780375,GLDS-476_image-analysis_210502-P3.tiff,3.63372E-05,1.32039E-09,02
plant25,P3-JSC1A-3,JSC1A,461,556,0.829136691,157.2778414,38,27,277,"(749.1388286334056,1186.7483731019522)",17,"(749.1868286132812,1186.7938232421875)",44.06795883,14.99181843,60.91662598,0.940353934,GLDS-476_image-analysis_210502-P3.tiff,3.63372E-05,1.32039E-09,02
plant29,P3-A17,A17,1344,2121,0.633663366,311.4609461,74,57,491,"(2064.234375,1237.2708333333333)",21,"(2067.62451171875,1238.9940185546875)",74.82762909,37.52161026,52.79185867,0.865192081,GLDS-476_image-analysis_210502-P3.tiff,3.63372E-05,1.32039E-09,02
plant34,P3-JSC1A-4,JSC1A,1910,3004.5,0.635713097,332.5340517,71,67,595,"(1039.5303664921466,1590.5659685863875)",18,"(1036.8955078125,1586.932373046875)",75.93669128,46.329422,132.9929504,0.792319893,GLDS-476_image-analysis_210502-P3.tiff,3.63372E-05,1.32039E-09,02
plant9,P3-JSC1A-1,JSC1A,21295,29685,0.717365673,952.6315925,220,237,1781,"(1616.5121859591454,1216.2842920873445)",38,"(1620.114990234375,1217.759765625)",251.6026154,155.833313,38.30677795,0.785104872,GLDS-476_image-analysis_210504-P3.tiff,2.04878E-05,4.19752E-10,04
plant13,P3-A11,A11,4778,5908,0.80873392,526.7504823,102,108,863,"(4032.9323984930934,1343.3545416492257)",35,"(4033.288818359375,1343.5384521484375)",141.46492,51.80698395,138.5104523,0.930529129,GLDS-476_image-analysis_210504-P3.tiff,2.04878E-05,4.19752E-10,04
plant18,P3-JSC1A-2,JSC1A,16448,23727.5,0.693204088,1000.974738,229,167,1555,"(2282.9640685797667,1808.7818579766538)",37,"(2280.22509765625,1807.02001953125)",211.0615082,131.8709106,105.7074432,0.780786048,GLDS-476_image-analysis_210504-P3.tiff,2.04878E-05,4.19752E-10,04
plant22,P3-A12,A12,17617,38867.5,0.453257863,2132.235734,237,255,1988,"(4687.491740932054,1866.3494352046318)",29,"(4694.24267578125,1888.5657958984375)",250.5145264,184.6788177,145.5163116,0.675676735,GLDS-476_image-analysis_210504-P3.tiff,2.04878E-05,4.19752E-10,04
plant25,P3-JSC1A-3,JSC1A,8867,12267,0.722833619,803.139236,120,158,1029,"(1740.5723469042516,2350.165219352656)",31,"(1741.393798828125,2354.403076171875)",148.0405731,113.8656845,0.31387952,0.639066031,GLDS-476_image-analysis_210504-P3.tiff,2.04878E-05,4.19752E-10,04
plant29,P3-A17,A17,10961,20445,0.536121301,1322.370874,221,179,1591,"(4076.609707143509,2415.9406988413466)",30,"(4075.7783203125,2397.35009765625)",226.3672333,127.5499802,49.5911026,0.826140035,GLDS-476_image-analysis_210504-P3.tiff,2.04878E-05,4.19752E-10,04
