Row-names,Symbol,Moon-Earth___log2FoldChange,Moon-Earth___padj,data
AT1G59540,KIN7N,-1.411960679,0.001316755,
AT1G30360,ERD4,-1.389163908,0.001316755,
AT3G05320,OFUT23,-0.812719246,0.001316755,
AT1G20030,,-2.212413743,0.001333238,
AT1G59990,RH22,-1.134539335,0.001333238,
AT3G15000,MORF8,-0.643304032,0.001333238,
AT2G28305,LOG1,0.722425383,0.001333238,
AT5G63780,SHA1,-1.798651038,0.001347107,
AT1G69200,FLN2,-1.452410816,0.00135313,
AT4G27340,,-0.552441782,0.00135313,
AT5G03230,,1.095317347,0.00135313,
AT2G32540,CSLB4 AT2G32540,0.9900125,0.001363058,
AT4G14230,CBSDUF2,-0.639531747,0.001367135,
AT4G26660,,-2.038825415,0.001439679,
AT4G27710,CYP709B3,0.536325111,0.001439679,
AT3G16670,,-3.73086991,0.001448185,
AT3G10690,GYRA,-1.053192595,0.001448185,
AT2G38750,ANN4,1.404967305,0.001448185,
AT4G33400,,-1.309723772,0.001465561,
AT5G15510,,-1.689541451,0.00154141,
AT1G61450,,-1.624503938,0.001560215,
AT4G05190,KIN14D,-1.608298784,0.001560215,
AT5G52800,,-1.266430455,0.001599802,
AT1G50240,TIO,-1.504377778,0.001608904,
AT3G54090,FLN1,-1.485863528,0.001656872,
AT4G20890,TUBB9,-1.049882737,0.001656872,
AT2G23050,NPY4,-2.304266811,0.001680015,
AT1G02730,CSLD5,-1.763243428,0.001680015,
AT1G02690,IMPA-6,-1.160260326,0.001680015,
AT3G53800,Fes1B,-2.406931021,0.001729252,
AT1G73620,,-2.001830485,0.001734019,
AT3G10020,,-1.9935378,0.001734019,
AT1G23790,,-1.94768785,0.001734019,
AT5G48310,,-1.940371899,0.001734019,
AT5G55520,,-1.896140977,0.001734019,
AT3G48500,PDE312,-1.405167046,0.001734019,
AT2G37420,KIN5B,-1.183186866,0.001734019,
AT1G10930,RECQL4A,-1.129527103,0.001734019,
AT5G37630,EMB2656,-1.052588788,0.001758583,
AT3G60140,BGLU30,5.265273345,0.001758583,
AT3G49240,EMB1796,-1.006253693,0.001785939,
AT4G26780,AR192,-0.718272729,0.001785939,
AT1G12730,,-1.560904688,0.001806427,
AT1G10760,GWD1 AT1G10760,-1.336737757,0.001829032,
AT3G62550,,-2.487304756,0.001836335,
AT4G21770,,-1.151382987,0.001836335,
AT2G15030,NA,1.042444542,0.001836335,
AT2G33560,BUBR1,-1.625846854,0.001836788,
AT4G37240,,-2.160475251,0.001854148,
AT5G49020,PRMT14,-0.474149116,0.001854148,
AT3G02530,CCT6A,-0.34636989,0.001854148,
AT2G05620,PGR5,0.429226477,0.001854148,
AT3G07350,,1.95254464,0.001854148,
AT2G22610,,-1.452388377,0.001858102,
AT2G25000,WRKY60,2.551499608,0.001858102,
AT4G18360,GLO5,2.162113643,0.001882949,
AT4G23800,HMGB6,-1.662878696,0.001890978,
AT5G55280,FTSZ1,-1.097763559,0.001912687,
AT3G14540,TPS19,-1.871235899,0.001947141,
AT4G15830,,-1.578843879,0.001947141,
AT5G15840,CO,-1.732416277,0.001949359,
AT4G17000,,-1.796537014,0.001973117,
AT3G20150,KIN12F,-1.530109842,0.001973117,
AT1G30690,PATL4,-0.908139612,0.00198535,
AT1G31850,,-0.659009158,0.001999849,
AT4G18840,PCMP-E101,-1.063867223,0.002035497,
AT5G12950,,-1.662815526,0.002093298,
AT3G13750,BGAL1,-1.883415475,0.002135072,
AT1G06950,TIC110,-1.086864466,0.002159054,
AT3G23890,TOP 2.00,-1.593086604,0.002195003,
AT5G60930,,-1.468037943,0.002195003,
AT5G26570,GWD3,-1.15993619,0.002195003,
AT5G06150,CYCB1-2,-1.661575539,0.00221231,
AT5G11150,ATVAMP713,-1.561107557,0.00221231,
AT4G13410,CSLA15,1.134033436,0.00221231,
AT3G06030,ANP3,-1.26905387,0.002223015,
AT5G56580,MKK6,-1.32686633,0.002253001,
AT5G23880,CPSF100,-0.509041643,0.002254282,
AT5G02370,,-1.299774849,0.002279325,
AT4G31120,PMRT15,-0.648948501,0.002287035,
AT2G01200,IAA32,-3.040866369,0.002351511,
AT4G24610,,-0.940619981,0.002351511,
AT4G39955,,1.762398639,0.002351511,
AT1G78430,ICR4,-1.434084261,0.00235674,
AT4G35770,STR15,-2.992402024,0.002364885,
AT4G05520,EHD2,-1.51020874,0.002364885,
AT3G44300,NIT2,3.901342394,0.002364885,
AT5G14570,NRT2.7,2.564359388,0.002398403,
AT2G33793,,-1.453602802,0.002408426,
AT1G09500,,2.8103276,0.002414906,
AT1G05440,,-1.697550975,0.002418185,
AT3G04550,RAF1.2,-1.452607914,0.002433479,
AT5G39980,,-0.973248113,0.002433479,
AT1G14850,NUP155,-0.450977181,0.002474085,
AT4G02150,IMPA3,-0.486490955,0.002485328,
AT2G35020,GLCNAC1PUT2,-0.472873745,0.002485328,
AT4G14330,KIN10A,-1.667538879,0.00249229,
AT1G08980,AMI1 AT1G08980,-1.503674406,0.00249229,
AT5G09730,BXL3,-2.662174925,0.002524743,
AT3G59480,,-1.791782566,0.002524743,
