Row-names,Symbol,Moon-Earth___log2FoldChange,Moon-Earth___padj,data
AT4G34000,ABF3,0.743614971,0.076042869,
AT3G59790,MPK10,-2.134152689,0.076061463,
AT4G12470,AZI1,2.127119443,0.076061463,
AT4G19450,,0.411260221,0.076116367,
AT5G66290,,0.341087986,0.076124336,
AT2G19660,,-1.864595421,0.07613572,
AT1G12680,PEPKR2,0.236164209,0.076242575,
AT5G45060,RPS4B,0.334957016,0.076311695,
AT1G60610,,0.445386568,0.076394996,
AT2G39725,,0.469580106,0.076520603,
AT4G06748,NA,1.947242932,0.076520603,
AT3G52580,RPS14C,-0.356466114,0.076521504,
AT2G39990,TIF3F1,-0.215636781,0.076521504,
AT2G47030,PME4,4.171073283,0.076521504,
AT3G29230,PCMP-E27,-0.367600339,0.076599066,
AT5G05840,,-0.830559532,0.076686782,
AT2G45530,,0.304540024,0.076756209,
AT4G36780,BEH2,0.27874559,0.076808652,
AT1G20070,,-0.82239292,0.076837546,
AT1G02770,,1.068653315,0.076951793,
AT5G24300,SS1,-0.325551719,0.076980574,
AT1G65481,,2.134990831,0.077038479,
AT5G01640,PRA1B5,0.616935923,0.077065073,
AT1G20880,,0.446686557,0.077068731,
AT5G14970,,-0.503596631,0.077155642,
AT1G73890,,0.524840522,0.077168638,
AT5G08600,,-1.021752101,0.07717539,
AT2G30330,BLOS1,0.224040251,0.077238498,
AT1G77270,AT1G77270,-0.632424641,0.077294454,
AT5G05365,,0.797009609,0.077294454,
AT2G32660,AtRLP22,2.10918958,0.077294454,
AT2G40350,,-5.01254126,0.077306592,
AT2G01120,ORC4,-0.510686639,0.077306592,
AT5G64140,RPS28C,-0.372355845,0.077306592,
AT1G28840,,-1.316622818,0.077307715,
AT1G14290,SBH2,-0.77290263,0.077307715,
AT4G13670,PTAC5,-0.473326196,0.077307715,
AT4G22570,APT3,0.407936152,0.077307715,
AT3G26445,,0.438989101,0.077307715,
AT4G27657,,0.600519439,0.077307715,
AT4G20860,FAD-OXR,0.921022254,0.077307715,
AT3G51540,,1.722404979,0.077307715,
AT5G27450,MVK,-0.627413195,0.077357804,
AT2G42770,,-0.448487748,0.077357804,
AT3G62790,,0.211519923,0.077357804,
AT5G17230,PSY,0.311973267,0.077357804,
AT3G19450,CAD4,0.492507421,0.077357804,
AT2G30670,,1.894561162,0.077357804,
AT2G43320,,0.413090543,0.077421657,
AT2G17220,PIX13,0.572314788,0.077457501,
AT5G46210,CUL4,-0.108918696,0.077463929,
AT3G28050,,0.440708542,0.077463929,
AT1G68980,,-0.31006785,0.077487365,
AT3G12685,,-0.533817871,0.077500128,
AT4G21150,RPN2,-0.234281142,0.07757423,
AT5G42650,CYP74A,0.592469323,0.07757423,
AT1G58848,RF9,0.450610893,0.077582867,
AT3G21480,,-0.312818441,0.077721297,
AT4G19210,ABCE2,-0.253618077,0.077721297,
AT5G42990,UBC18,0.477660775,0.077744936,
AT1G76405,OEP21B,-0.489493418,0.07778136,
AT1G64960,,-0.199549459,0.07778136,
AT5G01250,,1.400799727,0.07778136,
AT1G52710,,0.369656967,0.077782254,
AT3G62890,PCMP-H82,-0.519867843,0.077835607,
AT1G50890,TOR1L1,-0.463218128,0.077835607,
AT3G08530,CHC2,-0.234883207,0.077835607,
AT1G09575,,-0.710154987,0.077901944,
AT2G36885,,-0.563219095,0.077901944,
AT5G19300,,-0.486178218,0.077912877,
AT1G22270,TRM112A,-0.329918874,0.077912877,
AT4G02860,,0.489060836,0.077912877,
AT3G56810,,-0.622156693,0.077929511,
AT2G04660,APC2,-0.185521147,0.078010262,
AT1G69960,PP2A5,0.217195652,0.078090405,
AT3G26440,,1.735991141,0.07814102,
AT3G11210,CPRD49,0.27265819,0.07815559,
AT4G19006,,-0.219261996,0.078192213,
AT5G08470,PEX1,-0.210328302,0.078192213,
AT4G13900,NA,1.113340108,0.078261965,
AT1G50000,,-0.278281496,0.078274987,
AT1G48650,,-0.28136317,0.078307924,
AT1G08610,,-0.535613812,0.078312921,
AT1G12230,,-0.504151986,0.078312921,
AT1G77690,LAX3,-0.48050206,0.078312921,
AT5G26622,,-0.415732014,0.078312921,
AT1G34470,,0.170239591,0.078312921,
AT3G19460,,0.202446344,0.078312921,
AT5G61540,,0.267228556,0.078312921,
AT4G17870,PYR1,0.406483038,0.078312921,
AT3G51550,FER,-0.204757553,0.078336737,
AT5G16760,ITPK1,0.201073625,0.078439867,
AT4G14520,NRPB7L,0.27195667,0.078466822,
AT4G18210,PUP10,1.090743169,0.078472329,
AT5G02620,ANK1,0.418133812,0.078530945,
AT5G25590,,-0.402335563,0.078532399,
AT1G77920,TGA7,0.65122379,0.078565728,
AT4G32295,,0.551158746,0.078640478,
AT5G18255,,0.386946798,0.07869075,
AT5G14400,CYP724A1,1.139125057,0.07869075,
AT5G48030,GFA2,-0.30941533,0.078693306,
AT3G21110,PUR7,-0.258741446,0.078708776,
AT1G76500,AHL29,1.924732113,0.078712693,
AT3G58830,,-0.425509363,0.07871707,
AT5G08420,,-0.223636163,0.07871707,
AT3G46060,RABE1C,0.178959118,0.07871707,
AT5G61910,,-0.211720156,0.078860439,
AT1G28580,,0.787029597,0.078868155,
AT3G17000,UBC32,0.579801287,0.078883061,
AT2G29480,GSTU2,1.802529414,0.078883061,
AT4G39260,RBG8,-0.435202414,0.078884673,
AT1G34580,STP5,0.939964098,0.078934546,
AT4G14410,BHLH104,0.211993904,0.078947965,
AT3G13920,EIF4A1,-0.254824776,0.079074181,
AT2G25690,FLZ11,0.711676091,0.079074181,
AT2G32487,,1.128703295,0.079074181,
AT4G25500,RS40,-0.323231612,0.079108602,
AT4G34360,,-0.527655751,0.079113902,
AT5G42850,,0.439712263,0.079134051,
AT3G05830,,0.522442219,0.079134051,
AT1G69310,WRKY57,0.96848742,0.079221616,
ATMG01360,COX1,1.026795231,0.079368709,
AT2G38380,PER22,1.845695611,0.079386941,
AT2G31200,ADF6,0.278741234,0.079421292,
AT5G53080,,-0.309038611,0.079476315,
AT1G73810,,1.564474618,0.079495945,
AT5G66240,,0.183987132,0.07958468,
AT3G14100,UBP1C,0.404588356,0.079640026,
AT2G33360,,0.233965116,0.07969999,
AT1G80560,IMDH2,-0.467954783,0.079774961,
AT3G62920,,0.365855651,0.079774961,
AT3G56640,SEC15A,-0.214987626,0.079819805,
AT5G35740,,-1.210343426,0.079851829,
AT1G55205,,-0.747536635,0.079851829,
AT3G24430,HCF101,-0.472485244,0.079851829,
AT4G17740,CTPA2,-0.431145723,0.079851829,
AT1G12310,CML13,-0.358164626,0.079851829,
AT5G50000,,-0.33418769,0.079851829,
AT1G48450,,-0.2838357,0.079851829,
AT5G24610,,-0.258647372,0.079851829,
AT5G22850,,0.283520645,0.079854763,
AT1G19400,,0.188724023,0.079912165,
AT2G31130,,0.411467743,0.079972828,
AT5G01240,LAX1,-0.577976634,0.079990111,
AT3G26170,CYP71B19,0.909935131,0.080040467,
AT2G18550,ATHB-21,2.144579889,0.080076811,
AT2G14110,,0.419860302,0.080108211,
AT4G30530,GGP1,0.523616216,0.080256564,
AT4G21580,,0.66420071,0.080271451,
AT2G32640,,-0.482243222,0.080356285,
AT1G60070,,-0.286036929,0.080356285,
AT1G06050,AT1G06050,0.461794302,0.080356285,
AT2G35880,WDL4,-0.417647994,0.080369364,
AT5G67340,PUB2,1.348706267,0.080383641,
AT2G41950,,-0.591528389,0.080455985,
ATCG00760,RPL36,-0.662282102,0.080463105,
AT1G80020,NA,-0.221213079,0.080463105,
AT4G28980,CDKF-1,-0.187068143,0.08052743,
AT5G67310,CYP81G1,2.340385715,0.080641469,
AT1G71500,,-0.489585805,0.080683379,
AT5G16770,AtMYB9,0.901054129,0.080683379,
AT3G11120,RPL41G,-0.492625429,0.080706809,
AT2G42120,POLD2,-0.219141547,0.080743237,
AT1G80800,NA,0.364418923,0.080743237,
AT1G17750,PEPR2,0.404616461,0.080772269,
AT1G23360,MENG,-0.372709461,0.080791358,
AT5G24500,,0.181957625,0.080791358,
AT5G01800,,0.25877857,0.080791358,
AT3G21240,4CL2,0.988214803,0.080917751,
AT1G75200,TYW1,-0.350256754,0.080919048,
AT5G16110,,0.306755238,0.080919048,
AT3G24982,ATRLP40,0.971745887,0.080919048,
AT3G60961,,1.662284571,0.080919048,
AT3G22570,,2.162782743,0.080919048,
AT3G25790,HHO1,2.258056225,0.080919048,
AT5G59250,,-0.5463502,0.080958323,
AT1G09740,,0.855540989,0.080958323,
AT1G18990,MYOB5,-1.188308797,0.080982111,
AT3G49080,RPS9M,-0.397274097,0.081019292,
AT4G38170,FRS9,-0.180085029,0.081029523,
AT1G15100,RHA2A,0.724964687,0.081029523,
AT2G17240,AT2G17240,-0.515683882,0.081047331,
AT5G50210,QS,-0.208012973,0.081192584,
AT5G10945,MIR156D,1.278724926,0.081192584,
AT5G60220,TET4,0.59964891,0.081201458,
AT5G46350,WRKY8,0.932729254,0.08133978,
AT4G34138,UGT73B1,-1.084318978,0.08146149,
AT4G25540,MSH3,-0.659909559,0.08146149,
AT1G05385,PSB27-2,-0.655757993,0.081513428,
AT4G32212,NA,-1.192227396,0.081517359,
AT2G36730,PCMP-E44,-0.427022583,0.081517359,
AT4G14210,PDS,-0.258153845,0.081517359,
AT4G32690,GLB3,0.468684378,0.081648562,
AT5G01650,,-0.286225931,0.081679254,
AT4G12990,,0.585755562,0.081679254,
AT1G44350,ILL6,1.236396155,0.081837818,
AT5G16390,BCCP1,-0.442712581,0.081870448,
AT2G27580,SAP3,0.315476431,0.081870448,
AT3G18060,AIP1-2,-0.344438657,0.081902664,
AT5G22290,NAC089,0.657971677,0.081902664,
AT5G18310,,0.902045371,0.081902664,
AT3G53780,RBL4,0.548490849,0.081937948,
AT2G01490,PAHX,0.317335573,0.08198139,
AT4G08990,MET2,0.842181742,0.08198139,
AT5G13910,LEP,-1.520529079,0.082036063,
AT1G78970,LUP1,-0.733538992,0.082036171,
AT1G73730,EIL3,0.230354846,0.082036171,
AT5G10140,FLC,1.326190729,0.082036171,
AT3G48425,APE1L,-0.398882677,0.082066677,
AT1G05150,,-0.306384863,0.082066677,
AT5G52930,,-1.307028845,0.082129992,
AT4G03260,,0.302071923,0.082129992,
AT1G62050,,-0.352160666,0.082154855,
AT5G66900,,0.295697988,0.08226177,
AT1G19290,,-0.252847607,0.082261787,
AT2G22890,FAD4L2,-1.071479314,0.082344704,
AT2G23760,BLH4,-0.218152617,0.082350195,
AT3G22110,PAC1,-0.180321187,0.082350195,
AT2G43490,,0.277959245,0.082350195,
AT4G10040,CYTC-2,0.715097251,0.082350195,
AT4G13564,MIR841A,0.829982184,0.082363376,
AT1G71720,,-0.584983021,0.082364997,
AT5G07980,,-0.150361639,0.082378443,
AT3G61220,,0.662843993,0.082378443,
AT5G56710,RPL31C,-0.392973849,0.082391616,
AT2G07687,,1.577307565,0.082391616,
AT3G59280,PAM16L2,0.39458977,0.082453934,
AT4G22120,CSC1,-0.357258361,0.082463791,
AT5G16550,,0.375674998,0.082463791,
AT3G49430,SR34A,-0.259116267,0.082485194,
AT5G01920,STN 8.00,-0.374800101,0.082495359,
AT1G76850,SEC5A,-0.171740623,0.082550452,
AT4G33790,FAR3,-1.437272618,0.082562601,
AT4G20300,,0.357170221,0.082601199,
AT3G51260,PAD1,-0.143679645,0.082629265,
AT2G21540,SFH3,-0.828301934,0.082673918,
AT1G48360,FAN1,-0.344305666,0.082673918,
AT5G66090,,-0.253907947,0.082673918,
AT1G27350,,0.268199432,0.082692807,
AT3G02380,COL2,0.969885695,0.082692807,
AT3G55890,,1.16590758,0.082692807,
AT2G37380,MAKR3,-1.102093381,0.082761072,
AT5G23535,,-0.291262549,0.082827815,
AT3G16810,APUM24,-0.388891494,0.082843708,
AT4G36950,MAPKKK21,1.988976489,0.082843708,
AT5G26160,PMIR2,-0.19821533,0.08284825,
AT1G33730,CYP76C5,2.464818918,0.082907453,
AT5G25990,,-0.738430878,0.082917197,
AT3G27060,TSO2,-0.652994682,0.082917197,
AT5G20600,,-0.35885911,0.082917197,
AT1G68450,VQ8,3.492705755,0.082996056,
AT5G59850,RPS15AF,-0.417445443,0.08300051,
AT5G42060,,0.435381096,0.083003514,
AT4G19850,ATPP2-A2,0.58918596,0.083005768,
AT1G10110,AT1G10110,0.66080435,0.0831474,
AT3G23635,RTFL13,1.222559367,0.083189514,
AT3G29290,EMB2076,-0.270238882,0.083202967,
AT1G66350,RGL1,-0.891673939,0.083283444,
AT4G30390,,0.308724213,0.083296078,
AT1G50500,HIT1,-0.17380649,0.083312726,
AT5G18670,BAM 9.00,0.910726895,0.083326353,
AT4G12590,,-0.251108499,0.083363186,
AT4G13560,UNE15,0.520048428,0.083363186,
AT1G74020,SSL12,0.830369447,0.083406816,
AT1G73470,,-0.300438038,0.083411675,
AT5G01600,FER1,1.180295411,0.08344452,
AT1G63400,,-0.309823605,0.083447486,
AT2G20930,,-0.476988887,0.083567097,
AT3G18620,PAT11,0.404907055,0.083647159,
AT3G60330,AHA7,-1.015542979,0.083660028,
AT4G35520,MLH3,-0.854550468,0.083660028,
AT1G54150,SPL2,0.248579363,0.083664696,
AT1G16280,RH36,-0.280634395,0.083678694,
AT2G39681,TAS2,0.219602664,0.083701446,
AT2G28720,,-0.667128356,0.083805606,
AT4G28706,,-0.500186929,0.083805606,
AT3G20000,TOM40-1,-0.271427286,0.083805606,
AT4G18160,TPK3,0.317049532,0.083805606,
AT5G14060,AK2,0.421414644,0.083805606,
AT1G47740,,-0.333814325,0.083940216,
AT5G18660,DVR,-0.686286135,0.084058703,
AT5G26582,NA,-1.320851582,0.084227075,
AT3G25795,,1.956596235,0.084269297,
AT3G62980,TIR1,-0.338013449,0.084346939,
AT1G24320,GCS2,1.546819455,0.0843837,
AT1G64400,LACS3,0.536292433,0.084388797,
ATCG00190,RPOB,-0.663954554,0.084404056,
AT1G19520,NFD5,-0.292450028,0.084531193,
AT4G14700,ORC1A,-1.102654443,0.084547228,
AT3G53490,,0.381777563,0.084547228,
AT1G25400,,0.512472753,0.084547228,
AT3G06390,,2.039368536,0.084547228,
AT1G23400,CAF2,-0.439647936,0.084655124,
AT2G23000,SCPL10,1.236337507,0.084746137,
AT4G39952,PCMP-E98,-0.553647241,0.084764987,
AT4G30750,,0.323284787,0.084792421,
AT5G47500,PME68,-1.273287103,0.084869638,
AT1G09560,GLP4,0.508100207,0.084869638,
AT5G16720,MYOB3,-0.572764287,0.084932002,
AT3G47520,MDH,-0.302993668,0.08509942,
AT4G14820,PCMP-H3,-0.620044986,0.085235355,
AT3G18890,TIC62,-0.668660497,0.085256924,
AT3G28860,ABCB19,-0.519259735,0.085256924,
AT3G05590,RPL18B,-0.361757164,0.085256924,
AT5G44785,OSB3,-0.313007298,0.085256924,
AT1G72090,,-0.259799995,0.085256924,
AT4G25290,,0.250142096,0.085256924,
AT5G42730,NA,0.338237245,0.085256924,
AT5G46180,DELTA-OAT,0.594163706,0.085256924,
AT5G24870,,0.819757559,0.085256924,
AT1G19210,ERF017,1.335768259,0.085256924,
AT1G54520,,-0.363146501,0.085385707,
AT2G32550,,0.970347108,0.085385707,
AT1G55350,DEK1,-0.248933553,0.085442016,
AT1G70320,UPL2,-0.1981335,0.085559993,
AT2G20190,CLASP,-0.188047995,0.085559993,
AT2G15220,,1.538948227,0.085585983,
AT5G07440,GDH2,0.389711665,0.085671912,
AT5G45750,RABA1C,-0.619167153,0.085708311,
AT4G14630,GLP9,2.316348582,0.085763373,
AT3G17800,,0.56076005,0.085816246,
AT3G05900,,0.379291903,0.085906751,
AT2G33020,AtRLP24,2.109040919,0.085919585,
AT1G78750,,-1.198008766,0.085921616,
AT4G02480,,-0.141074913,0.085921616,
AT3G10930,,1.407394957,0.085921616,
AT1G69890,,-0.81067901,0.08597474,
AT1G53030,COX17-2,0.364934019,0.08597474,
AT4G17840,,0.734929107,0.086006837,
AT1G72620,,-1.303100505,0.086027437,
AT5G56670,RPS30A,-0.408404353,0.086027437,
AT3G22680,RDM1,0.204936067,0.086027437,
AT1G72140,NPF5.12,1.373213313,0.086027437,
AT1G67910,,-0.768219938,0.086119071,
AT5G64050,OVA3,-0.43352354,0.086119071,
AT3G11850,,-0.300580473,0.086119071,
AT3G09230,MYB1,-0.300557941,0.086119071,
AT5G66500,PCMP-E38,-0.554296476,0.086176714,
AT3G55110,ABCG18,0.513579465,0.086203452,
AT5G52970,,-0.562025172,0.086211218,
AT1G31860,HISN2,-0.444785876,0.086240236,
AT1G23740,AOR,0.41673274,0.086240236,
AT4G03540,,2.369502909,0.086275702,
AT1G65850,,2.023908201,0.086376011,
AT5G44650,Y3IP1,-0.405383643,0.08639899,
AT5G48360,FH9,-0.716495138,0.086423307,
AT2G21320,BBX18,0.988996528,0.086459019,
AT2G11890,TTM3,-0.223625022,0.086543013,
AT5G53570,,0.305717714,0.086543013,
AT5G63135,,0.385452397,0.086543013,
AT1G13970,,0.532422132,0.086543013,
AT2G43620,,1.285511866,0.086553753,
AT4G39170,SFH6,-0.223636833,0.086590251,
AT2G33770,UBC24,0.51011493,0.08660431,
AT5G14770,,-0.236808195,0.086615376,
AT5G44460,CML43,1.856085383,0.086627795,
AT3G13060,ECT5,-0.14039329,0.086640112,
AT3G17970,OEP64,-0.380253858,0.086683886,
AT1G75170,,0.867435592,0.086825823,
AT1G54030,MVP 1.00,0.791058574,0.086885852,
AT1G61640,,-0.463207002,0.086914234,
AT3G59190,,-1.12478283,0.086970209,
AT3G43540,,-0.397775087,0.08698989,
AT1G13520,,2.314877778,0.087056706,
AT1G31910,PMK,0.337703361,0.08708896,
AT3G14770,SWEET2,0.946519775,0.08708896,
AT4G34740,ASE2,-0.573194142,0.087251293,
AT3G49710,PCMP-H79,-0.41205323,0.087251293,
AT3G44620,,-0.225192675,0.087251293,
AT5G10610,CYP81K1,0.318304187,0.087251293,
AT5G01840,OFP1,0.802637733,0.087251293,
AT4G11642,NA,2.406008622,0.087251293,
AT5G22860,,0.882953532,0.087434904,
AT1G70270,,1.487309006,0.087531468,
AT2G42260,PYM,-0.830284375,0.087544219,
AT5G02050,,-0.37982479,0.087544219,
AT1G02230,NAC004,1.00431231,0.087544219,
AT5G63595,FLS4,1.903854517,0.087544219,
AT3G22620,,2.132769745,0.087544219,
AT1G07930,A1,-0.265665011,0.08761917,
AT1G67690,,-0.410438615,0.087696731,
AT1G66450,,0.948750863,0.087709259,
AT3G53890,RPS21B,-0.42231734,0.087737812,
AT2G32320,THG2,0.311457301,0.087737812,
AT4G38495,,0.430072355,0.087737812,
AT4G19960,KUP9,0.574126299,0.087737812,
AT5G51620,,0.317477447,0.087897146,
AT5G46100,,-0.441122048,0.087918221,
AT5G09440,EXL4,0.804212248,0.087918221,
AT1G53520,FAP3,-0.989899791,0.087935886,
AT1G61400,,-0.73822403,0.087935886,
AT1G70940,PIN3,0.342893041,0.087935886,
AT1G64355,,-0.519582085,0.08799167,
AT3G13460,ECT2,-0.248264573,0.088065406,
AT3G26560,,-0.218701281,0.088084881,
AT4G33180,,0.231512974,0.088084881,
AT3G21060,RBL,-0.27491586,0.088116829,
AT4G37460,SRFR1,0.360586978,0.088188937,
AT4G34090,,-0.506634337,0.088213488,
AT5G58320,NET4A,0.776326756,0.088276932,
AT1G32200,ATS 1.00,-0.588879295,0.088303294,
AT2G35630,MOR1,-0.151752401,0.088303294,
AT5G27840,TOPP8,0.155746278,0.088318997,
AT4G33220,PME44,-0.484307527,0.088358493,
AT2G13960,,0.764342269,0.088438152,
AT4G21930,,1.394309822,0.08844731,
AT4G34180,CYCLASE1,0.922987354,0.088496179,
AT5G44570,,1.136482978,0.088572673,
AT5G10020,,-0.335139879,0.088614497,
AT5G10250,DOT3,-1.915430913,0.088697995,
AT4G34220,,-1.016216058,0.088731515,
AT3G55530,SDIR1,0.264277286,0.088846757,
AT5G66600,,0.301435324,0.088846757,
AT5G35370,,0.612501033,0.0888512,
AT5G10540,CYOP,-0.29222038,0.088958779,
AT3G07910,,-0.203759419,0.08898096,
AT1G18750,AGL65,0.462345303,0.08898096,
AT5G06400,,-0.549200324,0.089021029,
AT2G31610,RPS3A,-0.336507607,0.089021029,
AT2G04880,WRKY1,0.360799629,0.089021029,
AT4G17600,LIL3.1,-0.502553743,0.08912488,
AT1G20890,,0.35066221,0.089138443,
AT4G33950,SRK2E,0.559705588,0.089140483,
AT5G58870,FTSH9,0.355745889,0.089185996,
AT2G44260,,1.230031443,0.089185996,
AT1G45145,TRX5,1.28928059,0.089209924,
AT1G75490,DREB2D,1.213176941,0.089221162,
AT2G24750,NA,0.490115547,0.089249522,
AT3G47540,,0.706095743,0.089258529,
AT2G17525,,-0.293850959,0.089305982,
AT5G60120,TOE2,0.439538692,0.089316097,
AT3G49680,BCAT3,-0.413917973,0.08933253,
AT2G33630,AT2G33630,0.301306718,0.08933253,
AT4G22260,AOX4,0.369022714,0.08933253,
AT3G12830,SAUR72,0.672479771,0.08933253,
AT4G15248,MIP1A,1.246276426,0.08933253,
AT1G16040,,0.312123556,0.08934618,
AT3G52390,,-0.455544925,0.089393304,
AT5G22690,,0.300699641,0.089405465,
AT4G13110,,0.741607017,0.089443175,
AT1G78950,,-1.128662936,0.089457457,
AT1G72760,,0.954106553,0.089457457,
AT5G05240,,-0.729513594,0.089483203,
AT1G52400,BGLU18,1.369764832,0.089575825,
AT5G06550,,-0.558454384,0.089580016,
AT1G28320,DEG15,-0.203550777,0.089580016,
AT1G52430,,-1.061710852,0.089606756,
AT5G27560,,-0.363004775,0.08962576,
AT5G60890,MYB34,0.51708329,0.08962576,
AT1G45474,LHCA5,-0.405736643,0.089646476,
AT1G23440,,0.648818984,0.089646476,
AT1G77380,AAP3,1.009866306,0.089646476,
AT3G02200,,-0.276820575,0.089679713,
AT3G07550,FBL12,0.248481063,0.089679713,
AT2G35750,,0.305287504,0.089723703,
AT3G44150,,-0.247186784,0.089747859,
AT5G53815,NA,0.480281297,0.089747859,
AT2G33590,,0.94804371,0.089747859,
AT3G47590,,0.364247247,0.08975903,
AT1G48540,,-0.366920896,0.089791074,
AT4G18580,,0.629501613,0.08979166,
AT5G54780,,0.493604701,0.089797123,
AT4G13710,,-0.700328377,0.089797298,
AT4G16265,NRPB9B,-0.425709777,0.089797298,
AT5G02150,Fes1C,-0.375506317,0.089797298,
AT1G30570,HERK2,-0.255153875,0.089797298,
AT1G26770,ATEXPA10,0.944695504,0.089828319,
AT5G39110,,1.81986129,0.089842285,
AT1G75400,,0.506020853,0.089952396,
AT3G50590,,-0.192420983,0.090016723,
AT1G55380,,-1.04223618,0.090045437,
AT5G06865,,1.380286782,0.090089581,
AT4G21970,,-0.880115649,0.090099832,
AT1G67930,,-0.246681683,0.090108987,
AT5G65480,,0.392557827,0.090108987,
AT1G73325,,1.66551087,0.090108987,
AT3G54050,CFBP1,-0.341408394,0.09013686,
AT4G32980,ATH1,0.325626754,0.090226281,
AT3G51750,,0.584494096,0.090290914,
AT4G34230,CAD5,0.829674266,0.090290914,
AT5G48790,,-0.429901278,0.090332758,
AT5G27280,,-0.372718035,0.090340501,
AT3G44280,,0.249404584,0.090340501,
AT4G33565,,0.702794975,0.090340501,
AT1G54160,NFYA5,1.031533666,0.090360696,
AT5G44635,MCM6,-0.698463645,0.090362953,
AT1G04810,RPN2B,-0.25939299,0.090362953,
AT3G58010,PAP9,-0.149303604,0.090362953,
AT5G67490,,0.670962755,0.090362953,
AT5G51040,,0.715652089,0.090372165,
AT2G32295,,0.222243664,0.090434895,
AT2G45695,URM1-1,0.309697096,0.090434895,
AT3G19290,ABF4,0.539790493,0.090451178,
AT5G60880,BASL,-0.770371111,0.090469146,
AT1G77750,RPS13,-0.434719985,0.090469146,
AT3G27810,MYB21,4.102917678,0.090469146,
AT5G59070,,-1.064212207,0.090571231,
AT1G69060,,0.278850939,0.090571231,
AT2G42980,,0.827838287,0.090571231,
AT3G61450,SYP 73,0.991348555,0.090616993,
AT2G33385,ARPC2B AT2G33385,1.104596521,0.090750508,
AT2G04160,AIR3,1.154207408,0.090750508,
AT3G55310,,1.312181259,0.09075316,
AT3G02480,,1.227949919,0.090766502,
AT1G77030,RH29,-0.390816061,0.090852563,
AT3G56700,FAR6,1.5517979,0.090858272,
AT5G54230,MYB49,2.064838084,0.090858272,
AT1G51390,NIFU5,0.310429274,0.090933838,
ATMG00516,NAD1C,1.28604593,0.090960309,
AT5G16360,,1.121943094,0.090987943,
AT1G60000,,0.252495783,0.091079977,
AT2G46490,,0.296284179,0.091094463,
AT3G01170,,0.597208328,0.091141925,
AT3G21865,PEX22,0.230724079,0.09115954,
AT3G16420,PBP1,1.04976906,0.091330092,
AT3G62580,,0.459039891,0.091344827,
AT2G27600,SKD1,-0.180279855,0.09134887,
AT1G76940,NSRA,0.187723458,0.09136102,
AT4G27530,,1.825292543,0.09136102,
AT2G01918,PQL3,-0.769412798,0.091379014,
AT3G18740,RPL30C,-0.374261086,0.091389332,
AT3G59068,,0.876045542,0.091445928,
AT1G72450,TIFY11B,0.911335898,0.091481684,
AT1G02930,GSTF6,1.213873729,0.091481684,
AT5G47740,,1.5493741,0.091481684,
AT2G16485,NERD,-0.177346867,0.091601782,
AT3G55510,RBL,-0.337079827,0.091629462,
AT3G17820,GLN1-3,0.423907195,0.091629462,
AT4G30850,HHP2,-0.586894602,0.091680038,
AT3G18420,SG1,-0.284961079,0.091680038,
AT4G27060,TOR1,-0.254237817,0.091680038,
AT1G48900,SRP-54C,-0.199348854,0.091781189,
AT4G27040,VP22-1,0.193635262,0.091836661,
AT1G01960,BIG3,-0.228482718,0.091935452,
AT5G63460,,0.19314246,0.091935452,
AT5G15390,,-0.37525067,0.09197123,
AT1G75410,BLH3,0.447617775,0.09197123,
AT1G01910,,-0.313600582,0.092144602,
AT1G14320,RPL10A,-0.450975138,0.092177604,
AT5G13800,PPH,0.517238517,0.092177604,
AT1G65870,DIR21,0.932909271,0.092177604,
AT3G48020,,1.629982485,0.092177604,
AT1G19730,TRX4,0.386832604,0.092195186,
AT1G07705,,-0.160926154,0.092202965,
AT3G54363,,0.590708266,0.092254616,
AT1G52830,IAA6,-2.092901073,0.092321483,
AT1G28150,,-0.424057685,0.092321483,
AT1G71040,LPR2,0.651142006,0.092321483,
AT4G37660,,-0.472754818,0.092377631,
AT3G60910,,0.326565464,0.092377631,
AT4G19810,ChiC,1.553909992,0.092377631,
AT3G04610,FLK,-0.198927197,0.092415448,
AT3G20740,FIE,-0.246752423,0.092418656,
AT4G39404,,2.180181913,0.092509565,
AT1G09060,,0.347925744,0.092523455,
AT4G17190,FPS2,-0.399715794,0.092664817,
AT5G51640,YLS7,0.603473258,0.09277096,
AT1G07960,PDIL5-1,0.243363022,0.092782051,
AT3G61900,,1.014131761,0.092782051,
AT3G11745,,0.312800859,0.092877067,
AT3G27090,,0.326416547,0.092877067,
AT1G70440,SRO3,2.171299948,0.092881617,
AT2G40880,CYS3,0.371076943,0.0929292,
AT4G17150,,-0.294044984,0.092960741,
AT2G01290,RPI2,-0.400267618,0.092988596,
AT5G54090,,-0.222832044,0.093032331,
AT1G79190,,-0.260382025,0.09303569,
AT3G11320,,0.172610604,0.09303569,
AT3G06130,HIPP32,-0.712974367,0.093055581,
AT1G31817,NFD3,-0.291290995,0.093055581,
AT2G45960,PIP1B,0.274414654,0.093073818,
AT4G35930,,-0.401145414,0.093108368,
AT3G24170,ATGR1,0.8173807,0.093108368,
AT3G28630,,-0.782956774,0.093110068,
AT5G49710,,0.361747223,0.093110068,
AT5G65495,SKIP34,0.362564684,0.093110068,
AT3G02220,,-0.235748576,0.093147986,
AT5G26980,SYP 41,0.308252389,0.093226835,
AT4G18220,PUP21,0.713901253,0.093226835,
AT1G74370,,-0.562206763,0.093241498,
AT3G13620,,0.272909773,0.093241498,
