https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant,,,"This table shows the relative abundances of each element detected by X-ray fluorescence (XRF). The relative abundances of elements detected by XRF in geological samples are quantified as oxides. In the simulant, these elements are contained in the minerals described in the Mineralogy table above, and not necessarily in oxide form. These data are from the Hamilton Analytical Lab.",,,,,,,,,,,,,,,,,,,,,,
Mineralogy,,,Bulk Chemistry,,,Physical Properties,,,,,,,,,,,,,,,,,,,
Component,Wt.%,,Oxide,Wt%,,,,,,,,,,,,,,,,,,,,,
Anorthosite,74.4,,SiO2,51.2,,Mean Particle Size,90 µm,,,,,,,,,,,,,,,,,,
Glass-rich basalt,24.7,,TiO2,0.6,,Particle Size Range,<0.01 µm – 1000 µm,,,,,,,,,,,,,,,,,,
Ilmenite,0.4,,Al2O3,26.6,,Bulk density*,1.30 g/cm3,,,,,,,,,,,,,,,,,,
Pyroxene (Bronzite),0.3,,FeO,2.7,,Grain Density,2.75 g/cm3,,,,,,,,,,,,,,,,,,
Olivine,0.2,,MnO,0.1,,Void Ratio,1.11,,,,,,,,,,,,,,,,,,
,,,MgO,1.6,,Porosity,52.70%,,,,,,,,,,,,,,,,,,
,,,CaO,12.8,,Angle of Repose,47.5°,,,,,,,,,,,,,,,,,,
,,,Na2O,2.9,,Note *: bulk density is not an inherent property and depends on the level of compaction,,,,,,,,,,,,,,,,,,,
,,,K2O,0.5,,,,,,,,,,,,,,,,,,,,,
,,,P2O5,0.1,,,,,,,,,,,,,,,,,,,,,
,,,LOI*,0.4,,,,,,,,,,,,,,,,,,,,,
,,,Total**,99.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,*Loss on ignition,,,*Spec Sheet (Before 06/2021),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,**Excluding volatiles and trace elements; see spec sheet.,,,*Spec Sheet (6/2021-Current),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
