Table 1.,https://academic.oup.com/nsr/article/9/2/nwab188/6397035,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bulk chemical composition for CE-5 lunar soils.,,,,,,,,,,,,,,,
XRF,,,,,,,,,,,,,,,
Element,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total,Mg#,,,
wt%,42.2,5,10.8,22.5,0.28,6.48,11,0.26,0.19,0.23,98.94,33.9,,,
Uncertainty(k = 2),0.34,0.06,0.18,0.33,0.03,0.35,0.1,0.21,0.15,0.05,,,,,
INAA,,,,,,,,,,,,,,,
Element,Na,Mg,Al,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Zn,Rb
ppm,3420,38600,57300,1510,74500,66,31100,95.8,1410,2150,174000,40,136,16.2,7.47
Uncertainty(k = 2),205,2470,2600,151,4800,2.6,1600,8,56.4,86,7000,1.6,11,3.2,1.49
Element,Zr,La,Cs,Ce,Pr,Sm,Eu,Gd,Tb,Dy,Ho,Lu,Ta,Th,U
ppm,458,36.1,0.169,92.8,12.5,16.1,2.56,18.9,3.51,20.9,4.5,1.41,1.77,4.72,1.41
Uncertainty(k = 2),34,1.4,0.038,3.7,2.22,0.6,0.1,0.77,0.28,1.4,1.4,0.08,0.18,0.28,0.28
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bulk chemical composition for CE-5 lunar soils.,XRF,Element,wt%,Uncertainty(k = 2),,INAA,Element,ppm,Uncertainty(k = 2),Element,ppm,Uncertainty(k = 2),,,
,,SiO2,42.2,0.34,,,Na,3420,205,Zr,458,34,,,
,,TiO2,5,0.06,,,Mg,38600,2470,La,36.1,1.4,,,
,,Al2O3,10.8,0.18,,,Al,57300,2600,Cs,0.169,0.038,,,
,,FeO,22.5,0.33,,,K,1510,151,Ce,92.8,3.7,,,
,,MnO,0.28,0.03,,,Ca,74500,4800,Pr,12.5,2.22,,,
,,MgO,6.48,0.35,,,Sc,66,2.6,Sm,16.1,0.6,,,
,,CaO,11,0.1,,,Ti,31100,1600,Eu,2.56,0.1,,,
,,Na2O,0.26,0.21,,,V,95.8,8,Gd,18.9,0.77,,,
,,K2O,0.19,0.15,,,Cr,1410,56.4,Tb,3.51,0.28,,,
,,P2O5,0.23,0.05,,,Mn,2150,86,Dy,20.9,1.4,,,
,,Total,98.94,,,,Fe,174000,7000,Ho,4.5,1.4,,,
,,Mg#,33.9,,,,Co,40,1.6,Lu,1.41,0.08,,,
,,,,,,,Ni,136,11,Ta,1.77,0.18,,,
,,,,,,,Zn,16.2,3.2,Th,4.72,0.28,,,
,,,,,,,Rb,7.47,1.49,U,1.41,0.28,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
